Date,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
01/09/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,200000,1
01/10/17,13,30,Male,C19,Master,119227,28/05/12,,1,4,350000,1
01/11/17,13,31,Male,C19,Master,119227,28/05/12,25/11/17,1,4,0,1
01/10/17,14,39,Female,C26,College,19734,16/10/17,,3,3,0,1
01/11/17,14,39,Female,C26,College,19734,16/10/17,,3,3,0,1
01/12/17,14,39,Female,C26,College,19734,16/10/17,,3,3,0,1
01/01/16,16,30,Female,C23,College,52963,30/11/15,,2,2,346800,1
01/02/16,16,30,Female,C23,College,52963,30/11/15,22/02/16,2,2,0,1
01/01/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,100000,2
01/02/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,0,2
01/03/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,674990,2
01/04/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,242650,1
01/05/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,0,1
01/06/16,17,42,Male,C20,Master,51099,06/03/15,,1,1,0,1
01/07/16,17,43,Male,C20,Master,51099,06/03/15,20/07/16,1,1,0,1
01/01/16,18,27,Female,C17,Bachelor,31631,09/01/16,,1,1,0,1
01/02/16,18,27,Female,C17,Bachelor,31631,09/01/16,,1,1,0,1
01/03/16,18,27,Female,C17,Bachelor,31631,09/01/16,,1,1,0,1
01/04/16,18,27,Female,C17,Bachelor,31631,09/01/16,,1,1,0,1
01/05/16,18,27,Female,C17,Bachelor,31631,09/01/16,30/04/16,1,1,0,1
01/10/16,20,26,Female,C19,College,40342,25/10/16,,3,3,0,1
01/11/16,20,26,Female,C19,College,40342,25/10/16,,3,3,0,1
01/12/16,20,26,Female,C19,College,40342,25/10/16,,3,3,0,1
01/01/17,20,26,Female,C19,College,40342,25/10/16,,3,3,0,1
01/02/17,20,26,Female,C19,College,40342,25/10/16,,3,3,0,1
01/03/17,20,26,Female,C19,College,40342,25/10/16,01/03/17,3,3,0,1
01/01/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,948560,4
01/02/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,551740,4
01/03/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,3295370,4
01/04/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,0,2
01/05/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,116350,2
01/06/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,533260,2
01/07/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,150450,2
01/08/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,0,2
01/09/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,520980,2
01/10/16,21,33,Female,C29,Bachelor,22755,12/05/15,,1,1,150600,2
01/11/16,21,34,Female,C29,Bachelor,22755,12/05/15,,1,1,0,2
01/12/16,21,34,Female,C29,Bachelor,22755,12/05/15,,1,1,263690,2
01/01/17,21,34,Female,C29,Bachelor,22755,12/05/15,,1,1,150170,1
01/02/17,21,34,Female,C29,Bachelor,22755,12/05/15,17/02/17,1,1,281380,1
01/01/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,216170,2
01/02/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,404600,2
01/03/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,819960,2
01/04/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,601680,4
01/05/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,635700,4
01/06/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,121590,4
01/07/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,653680,4
01/08/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,1120560,4
01/09/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,696920,4
01/10/16,22,40,Male,C10,Master,31224,25/05/15,,1,1,200000,3
01/11/16,22,41,Male,C10,Master,31224,25/05/15,,1,1,306410,3
01/12/16,22,41,Male,C10,Master,31224,25/05/15,,1,1,499480,3
01/01/17,22,41,Male,C10,Master,31224,25/05/15,,1,1,500510,2
01/02/17,22,41,Male,C10,Master,31224,25/05/15,,1,1,658430,2
01/03/17,22,41,Male,C10,Master,31224,25/05/15,,1,1,103800,2
01/04/17,22,41,Male,C10,Master,31224,25/05/15,26/04/17,1,1,0,1
01/01/16,24,30,Male,C24,Master,76308,25/05/15,,1,2,106460,2
01/02/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,401310,2
01/03/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,1103240,2
01/04/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,312720,2
01/05/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,128730,2
01/06/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,97220,2
01/07/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,203240,3
01/08/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,639720,3
01/09/16,24,31,Male,C24,Master,76308,25/05/15,,1,2,765920,3
01/10/16,24,31,Male,C24,Master,76308,25/05/15,27/10/16,1,2,343160,2
01/01/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,2552300,3
01/02/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,2143680,3
01/03/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,2925260,3
01/04/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,1030790,4
01/05/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,1833580,4
01/06/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,999610,4
01/07/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,1046670,4
01/08/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,677050,4
01/09/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,1934570,4
01/10/16,25,29,Male,C24,Bachelor,102077,30/10/14,,1,3,1297810,4
01/11/16,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,1474610,4
01/12/16,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,574040,4
01/01/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,2109420,4
01/02/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,2973000,4
01/03/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,3053510,4
01/04/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,-414250,3
01/05/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,350000,3
01/06/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,1219340,3
01/07/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,650000,4
01/08/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,1512060,4
01/09/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,1368060,4
01/10/17,25,30,Male,C24,Bachelor,102077,30/10/14,,1,3,1346140,4
01/11/17,25,31,Male,C24,Bachelor,102077,30/10/14,,1,3,1680680,4
01/12/17,25,31,Male,C24,Bachelor,102077,30/10/14,,1,3,2013180,4
01/01/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,243110,4
01/02/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,646330,4
01/03/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,17651940,4
01/04/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,242510,4
01/05/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,1098080,4
01/06/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,1212720,4
01/07/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,2695910,4
01/08/16,26,41,Male,C14,Master,121529,07/05/15,,1,3,494710,4
01/09/16,26,42,Male,C14,Master,121529,07/05/15,,1,3,986540,4
01/10/16,26,42,Male,C14,Master,121529,07/05/15,,1,3,9950710,4
01/11/16,26,42,Male,C14,Master,121529,07/05/15,,1,3,13097320,4
01/12/16,26,42,Male,C14,Master,121529,07/05/15,,1,3,1086370,4
01/01/17,26,42,Male,C14,Master,121529,07/05/15,,1,3,732410,2
01/02/17,26,42,Male,C14,Master,121529,07/05/15,,1,3,1511840,2
01/03/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,9226690,4
01/04/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,1940050,2
01/05/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,970030,2
01/06/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,0,2
01/07/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,153590,2
01/08/17,26,42,Male,C14,Master,132577,07/05/15,,1,4,1710410,2
01/09/17,26,43,Male,C14,Master,132577,07/05/15,,1,4,440550,2
01/10/17,26,43,Male,C14,Master,132577,07/05/15,,1,4,744590,2
01/11/17,26,43,Male,C14,Master,132577,07/05/15,,1,4,1578270,2
01/12/17,26,43,Male,C14,Master,132577,07/05/15,,1,4,1453220,2
01/01/16,29,30,Male,C13,Master,30312,20/05/15,,1,1,231840,2
01/02/16,29,30,Male,C13,Master,30312,20/05/15,,1,1,278930,2
01/03/16,29,30,Male,C13,Master,30312,20/05/15,,1,1,650990,2
01/04/16,29,30,Male,C13,Master,30312,20/05/15,,1,1,111410,1
01/05/16,29,30,Male,C13,Master,30312,20/05/15,23/05/16,1,1,0,1
01/10/16,30,31,Male,C6,Bachelor,69457,03/10/16,,3,3,0,1
01/11/16,30,31,Male,C6,Bachelor,69457,03/10/16,,3,3,0,1
01/12/16,30,31,Male,C6,Bachelor,69457,03/10/16,29/11/16,3,3,0,1
01/07/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,0,1
01/08/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,0,1
01/09/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,0,1
01/10/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,0,2
01/11/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,0,2
01/12/17,31,32,Female,C28,Master,65189,04/07/17,,3,3,950940,2
01/08/17,34,28,Female,C14,Bachelor,65813,31/07/17,,2,2,285830,2
01/09/17,34,28,Female,C14,Bachelor,65813,31/07/17,,2,2,190180,2
01/10/17,34,28,Female,C14,Bachelor,65813,31/07/17,,2,2,0,1
01/11/17,34,28,Female,C14,Bachelor,65813,31/07/17,14/11/17,2,2,0,1
01/03/17,35,32,Male,C5,Bachelor,68070,07/03/17,,3,3,300000,1
01/04/17,35,32,Male,C5,Bachelor,68070,07/03/17,,3,3,0,1
01/05/17,35,32,Male,C5,Bachelor,68070,07/03/17,05/05/17,3,3,0,1
01/07/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,0,2
01/08/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,0,2
01/09/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,722390,2
01/10/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,821020,2
01/11/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,-19350,2
01/12/16,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,145400,2
01/01/17,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,0,1
01/02/17,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,400000,1
01/03/17,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,-50000,1
01/04/17,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,1460000,3
01/05/17,36,40,Female,C18,Bachelor,32865,01/07/16,,2,2,0,3
01/06/17,36,41,Female,C18,Bachelor,32865,01/07/16,,2,2,139080,3
01/07/17,36,41,Female,C18,Bachelor,32865,01/07/16,,2,2,984330,2
01/08/17,36,41,Female,C18,Bachelor,32865,01/07/16,29/07/17,2,2,-325140,2
01/05/17,37,33,Female,C14,Bachelor,57375,16/05/17,,2,2,0,1
01/06/17,37,33,Female,C14,Bachelor,57375,16/05/17,,2,2,300000,1
01/07/17,37,33,Female,C14,Bachelor,57375,16/05/17,,2,2,350020,1
01/08/17,37,33,Female,C14,Bachelor,57375,16/05/17,,2,2,0,1
01/09/17,37,33,Female,C14,Bachelor,57375,16/05/17,,2,2,0,1
01/10/17,37,33,Female,C14,Bachelor,57375,16/05/17,16/10/17,2,2,0,1
01/12/16,38,22,Male,C27,College,13427,06/12/16,,1,1,0,1
01/01/17,38,22,Male,C27,College,13427,06/12/16,,1,1,0,1
01/02/17,38,22,Male,C27,College,13427,06/12/16,,1,1,155610,1
01/03/17,38,22,Male,C27,College,13427,06/12/16,15/03/17,1,1,-155610,1
01/08/17,39,32,Male,C26,College,72888,08/08/17,,2,2,966340,3
01/09/17,39,32,Male,C26,College,72888,08/08/17,,2,2,554010,3
01/10/17,39,32,Male,C26,College,72888,08/08/17,,2,2,600440,2
01/11/17,39,32,Male,C26,College,72888,08/08/17,,2,2,150470,2
01/12/17,39,32,Male,C26,College,72888,08/08/17,,2,2,150970,2
01/11/16,40,32,Male,C15,College,59182,08/11/16,,2,2,0,1
01/12/16,40,32,Male,C15,College,59182,08/11/16,,2,2,0,1
01/01/17,40,32,Male,C15,College,59182,08/11/16,,2,2,0,1
01/02/17,40,32,Male,C15,College,59182,08/11/16,14/02/17,2,2,0,1
01/07/16,41,33,Male,C29,Master,92372,04/07/16,,4,4,0,1
01/08/16,41,33,Male,C29,Master,92372,04/07/16,,4,4,0,1
01/09/16,41,33,Male,C29,Master,92372,04/07/16,,4,4,1061060,1
01/10/16,41,33,Male,C29,Master,92372,04/07/16,,4,4,1357440,3
01/11/16,41,33,Male,C29,Master,92372,04/07/16,,4,4,1000000,3
01/12/16,41,34,Male,C29,Master,92372,04/07/16,,4,4,2240810,3
01/01/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,1002760,3
01/02/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,2600330,3
01/03/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,6718850,3
01/04/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,0,2
01/05/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,811400,2
01/06/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,1071890,2
01/07/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,1358260,1
01/08/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,306820,1
01/09/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,0,1
01/10/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,775520,2
01/11/17,41,34,Male,C29,Master,92372,04/07/16,,4,4,180770,2
01/12/17,41,35,Male,C29,Master,92372,04/07/16,,4,4,1270000,2
01/01/16,42,44,Female,C28,College,45988,20/10/15,,2,2,147900,1
01/02/16,42,44,Female,C28,College,45988,20/10/15,,2,2,189020,1
01/03/16,42,44,Female,C28,College,45988,20/10/15,,2,2,657770,1
01/04/16,42,44,Female,C28,College,45988,20/10/15,,2,2,0,1
01/05/16,42,44,Female,C28,College,45988,20/10/15,16/05/16,2,2,0,1
01/01/16,43,27,Female,C15,College,12906,13/07/15,,1,1,359890,1
01/02/16,43,27,Female,C15,College,12906,13/07/15,20/02/16,1,1,0,1
01/09/17,44,28,Male,C17,Master,62100,25/09/17,,1,1,0,1
01/10/17,44,28,Male,C17,Master,62100,25/09/17,,1,1,150110,1
01/11/17,44,28,Male,C17,Master,62100,25/09/17,24/11/17,1,1,0,1
01/06/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,0,1
01/07/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,1262040,3
01/08/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,1202980,3
01/09/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,-58440,3
01/10/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,964680,3
01/11/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,334320,3
01/12/17,45,35,Male,C8,Master,77544,29/05/17,,3,3,1521760,3
01/01/16,46,36,Female,C25,Master,42171,28/10/15,,1,1,231860,1
01/02/16,46,36,Female,C25,Master,42171,28/10/15,,1,1,106430,1
01/03/16,46,36,Female,C25,Master,42171,28/10/15,27/02/16,1,1,0,1
01/10/17,47,30,Male,C21,Bachelor,28000,09/10/17,,1,1,0,2
01/11/17,47,30,Male,C21,Bachelor,28000,09/10/17,,1,1,484060,2
01/12/17,47,30,Male,C21,Bachelor,28000,09/10/17,,1,1,382210,2
01/01/16,49,21,Male,C20,College,53039,25/05/15,,1,2,171760,1
01/02/16,49,21,Male,C20,College,53039,25/05/15,,1,2,0,1
01/03/16,49,21,Male,C20,College,53039,25/05/15,,1,2,392890,1
01/04/16,49,21,Male,C20,College,53039,25/05/15,,1,2,106160,1
01/05/16,49,21,Male,C20,College,53039,25/05/15,,1,2,124190,1
01/06/16,49,21,Male,C20,College,53039,25/05/15,,1,2,0,1
01/07/16,49,21,Male,C20,College,53039,25/05/15,,1,2,503500,2
01/08/16,49,21,Male,C20,College,53039,25/05/15,,1,2,300300,2
01/09/16,49,21,Male,C20,College,53039,25/05/15,,1,2,0,2
01/10/16,49,21,Male,C20,College,53039,25/05/15,,1,2,0,1
01/11/16,49,21,Male,C20,College,53039,25/05/15,,1,2,0,1
01/12/16,49,21,Male,C20,College,53039,25/05/15,,1,2,200000,1
01/01/17,49,22,Male,C20,College,53039,25/05/15,21/01/17,1,2,0,1
01/01/16,50,49,Female,C5,College,89367,20/11/15,,3,3,110310,1
01/02/16,50,49,Female,C5,College,89367,20/11/15,20/02/16,3,3,0,1
01/01/16,51,33,Male,C14,College,131347,22/05/14,,4,4,0,1
01/02/16,51,33,Male,C14,College,131347,22/05/14,,4,4,0,1
01/03/16,51,33,Male,C14,College,131347,22/05/14,,4,4,0,1
01/06/16,51,33,Male,C14,College,131347,22/05/14,,4,4,0,1
01/07/16,51,33,Male,C14,College,131347,22/05/14,,4,4,200000,2
01/08/16,51,33,Male,C14,College,131347,22/05/14,,4,4,845500,2
01/09/16,51,33,Male,C14,College,131347,22/05/14,,4,4,742500,2
01/10/16,51,33,Male,C14,College,131347,22/05/14,,4,4,250000,2
01/11/16,51,34,Male,C14,College,131347,22/05/14,,4,4,570000,2
01/12/16,51,34,Male,C14,College,131347,22/05/14,23/12/16,4,4,582010,2
01/07/17,52,36,Male,C19,College,48687,28/06/17,,3,3,0,1
01/08/17,52,36,Male,C19,College,48687,28/06/17,,3,3,0,1
01/09/17,52,36,Male,C19,College,48687,28/06/17,,3,3,493300,1
01/10/17,52,37,Male,C19,College,48687,28/06/17,,3,3,502020,2
01/11/17,52,37,Male,C19,College,48687,28/06/17,,3,3,556710,2
01/12/17,52,37,Male,C19,College,48687,28/06/17,,3,3,300560,2
01/07/16,54,33,Male,C29,Bachelor,117993,11/07/16,,4,4,0,2
01/08/16,54,33,Male,C29,Bachelor,117993,11/07/16,,4,4,0,2
01/09/16,54,33,Male,C29,Bachelor,117993,11/07/16,,4,4,2000000,2
01/10/16,54,33,Male,C29,Bachelor,117993,11/07/16,,4,4,0,3
01/11/16,54,33,Male,C29,Bachelor,117993,11/07/16,,4,4,1950000,3
01/12/16,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,1455010,3
01/01/17,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,3398000,4
01/02/17,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,6062470,4
01/03/17,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,14620880,4
01/04/17,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,0,2
01/05/17,54,34,Male,C29,Bachelor,117993,11/07/16,,4,4,1380000,2
01/06/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,1449260,3
01/07/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,193240,1
01/08/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,350000,1
01/09/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,0,1
01/10/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,0,1
01/11/17,54,34,Male,C29,Bachelor,127826,11/07/16,,4,5,0,1
01/12/17,54,35,Male,C29,Bachelor,127826,11/07/16,,4,5,964430,1
01/11/16,55,30,Female,C8,College,29985,21/11/16,,1,1,0,1
01/12/16,55,30,Female,C8,College,29985,21/11/16,,1,1,0,1
01/01/17,55,30,Female,C8,College,29985,21/11/16,,1,1,0,1
01/02/17,55,30,Female,C8,College,29985,21/11/16,,1,1,0,1
01/03/17,55,30,Female,C8,College,29985,21/11/16,15/03/17,1,1,0,1
01/01/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,402040,3
01/02/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,358980,3
01/03/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,1111110,3
01/04/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,0,2
01/05/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,428450,2
01/06/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,0,2
01/07/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,717580,4
01/08/16,56,34,Female,C19,Master,80223,20/07/15,,1,1,500000,4
01/09/16,56,35,Female,C19,Master,80223,20/07/15,,1,1,936760,4
01/10/16,56,35,Female,C19,Master,80223,20/07/15,,1,1,1125300,3
01/11/16,56,35,Female,C19,Master,80223,20/07/15,,1,1,500000,3
01/12/16,56,35,Female,C19,Master,80223,20/07/15,,1,1,0,3
01/01/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,156710,2
01/02/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,0,2
01/03/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,1198140,2
01/04/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,0,3
01/05/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,438580,3
01/06/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,838040,3
01/07/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,504690,2
01/08/17,56,35,Female,C19,Master,80223,20/07/15,,1,1,300960,2
01/09/17,56,36,Female,C19,Master,80223,20/07/15,,1,1,0,2
01/10/17,56,36,Female,C19,Master,80223,20/07/15,,1,1,1490080,4
01/11/17,56,36,Female,C19,Master,80223,20/07/15,,1,1,257330,4
01/12/17,56,36,Female,C19,Master,80223,20/07/15,,1,1,458720,4
01/01/16,57,36,Female,C1,Bachelor,84318,26/07/14,,1,2,414260,3
01/02/16,57,36,Female,C1,Bachelor,84318,26/07/14,,1,2,1322870,3
01/03/16,57,36,Female,C1,Bachelor,84318,26/07/14,,1,2,1000380,3
01/04/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,676920,2
01/05/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,-157620,2
01/06/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,150350,2
01/07/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,250000,3
01/08/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,719670,3
01/09/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,573350,3
01/10/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,419100,4
01/11/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,741970,4
01/12/16,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,7612390,4
01/01/17,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,3636360,3
01/02/17,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,350670,3
01/03/17,57,37,Female,C1,Bachelor,84318,26/07/14,,1,2,983560,3
01/04/17,57,38,Female,C1,Bachelor,84318,26/07/14,,1,2,1001040,4
01/05/17,57,38,Female,C1,Bachelor,84318,26/07/14,,1,2,500000,4
01/06/17,57,38,Female,C1,Bachelor,84318,26/07/14,,1,2,2596040,4
01/07/17,57,38,Female,C1,Bachelor,84318,26/07/14,21/07/17,1,2,0,1
