INSTRUMENTO,FECHA,TIPO VALOR,PRECIO SUCIO,PRECIO LIMPIO,DIAS X VENCER,RENDIMIENTO,TASA CUPON
M_BONOS_191211,04/01/2017,M,94.883802,94.606024,1071,7.04,0.05
M_BONOS_200611,04/01/2017,M,102.894273,102.449829,1254,7.19,0.08
M_BONOS_210610,04/01/2017,M,97.336844,96.975733,1618,7.3,0.065
M_BONOS_220609,04/01/2017,M,96.432803,96.071692,1982,7.38,0.065
M_BONOS_231207,04/01/2017,M,103.073417,102.628973,2528,7.51,0.08
M_BONOS_241205,04/01/2017,M,114.778676,114.22312,2892,7.6,0.1
M_BONOS_260305,04/01/2017,M,89.283477,87.51056,3347,7.65,0.0575
M_BONOS_270603,04/01/2017,M,98.629088,98.212421,3802,7.75,0.075
M_BONOS_290531,04/01/2017,M,105.519603,105.047381,4530,7.86,0.085
M_BONOS_310529,04/01/2017,M,98.62875,98.198194,5258,7.96,0.0775
M_BONOS_341123,04/01/2017,M,97.494063,97.063507,6532,8.06,0.0775
M_BONOS_361120,04/01/2017,M,119.609382,119.053826,7260,8.07,0.1
M_BONOS_381118,04/01/2017,M,104.765093,104.292871,7988,8.08,0.085
M_BONOS_421113,04/01/2017,M,97.272328,96.841772,9444,8.04,0.0775
M_BONOS_170615,05/01/2017,M,99.662708,99.371041,161,6.44,0.05
M_BONOS_171214,05/01/2017,M,101.48153,101.029447,343,6.61,0.0775
M_BONOS_180614,05/01/2017,M,97.138042,96.860959,525,7.05,0.0475
M_BONOS_181213,05/01/2017,M,102.994191,102.498358,707,7.11,0.085
M_BONOS_191211,05/01/2017,M,94.41855,94.126883,1070,7.23,0.05
M_BONOS_200611,05/01/2017,M,102.362336,101.895669,1253,7.37,0.08
M_BONOS_210610,05/01/2017,M,96.802741,96.423574,1617,7.45,0.065
M_BONOS_220609,05/01/2017,M,95.716213,95.337046,1981,7.55,0.065
M_BONOS_231207,05/01/2017,M,102.332622,101.865955,2527,7.65,0.08
M_BONOS_241205,05/01/2017,M,114.09466,113.511327,2891,7.71,0.1
M_BONOS_260305,05/01/2017,M,88.580715,86.791826,3346,7.77,0.0575
M_BONOS_270603,05/01/2017,M,97.809964,97.372464,3801,7.87,0.075
M_BONOS_290531,05/01/2017,M,104.810493,104.31466,4529,7.95,0.085
M_BONOS_310529,05/01/2017,M,97.811407,97.359324,5257,8.06,0.0775
M_BONOS_341123,05/01/2017,M,96.779981,96.327898,6531,8.14,0.0775
M_BONOS_361120,05/01/2017,M,118.848654,118.265321,7259,8.14,0.1
M_BONOS_381118,05/01/2017,M,103.842411,103.346578,7987,8.17,0.085
M_BONOS_421113,05/01/2017,M,96.557016,96.104933,9443,8.11,0.0775
M_BONOS_170615,06/01/2017,M,99.69742,99.391864,160,6.4,0.05
M_BONOS_171214,06/01/2017,M,101.582213,101.108602,342,6.52,0.0775
M_BONOS_180614,06/01/2017,M,97.276698,96.98642,524,6.96,0.0475
M_BONOS_181213,06/01/2017,M,103.160789,102.641345,706,7.03,0.085
M_BONOS_191211,06/01/2017,M,94.640218,94.334662,1069,7.15,0.05
M_BONOS_200611,06/01/2017,M,102.627678,102.138789,1252,7.29,0.08
M_BONOS_210610,06/01/2017,M,97.080096,96.682874,1616,7.38,0.065
M_BONOS_220609,06/01/2017,M,96.081281,95.684059,1980,7.47,0.065
M_BONOS_231207,06/01/2017,M,103.115634,102.626745,2526,7.51,0.08
M_BONOS_241205,06/01/2017,M,115.084962,114.473851,2890,7.56,0.1
M_BONOS_260305,06/01/2017,M,89.441646,87.636785,3345,7.63,0.0575
M_BONOS_270603,06/01/2017,M,98.811637,98.353304,3800,7.73,0.075
M_BONOS_290531,06/01/2017,M,105.728325,105.208881,4528,7.84,0.085
M_BONOS_310529,06/01/2017,M,99.349689,98.876078,5256,7.88,0.0775
M_BONOS_341123,06/01/2017,M,98.843811,98.3702,6530,7.92,0.0775
M_BONOS_361120,06/01/2017,M,121.029768,120.418657,7258,7.95,0.1
M_BONOS_381118,06/01/2017,M,105.663136,105.143692,7986,8,0.085
M_BONOS_421113,06/01/2017,M,98.383121,97.90951,9442,7.94,0.0775
M_BONOS_170615,09/01/2017,M,99.749763,99.402541,157,6.4,0.05
M_BONOS_171214,09/01/2017,M,101.600224,101.06203,339,6.56,0.0775
M_BONOS_180614,09/01/2017,M,97.318896,96.989035,521,6.97,0.0475
M_BONOS_181213,09/01/2017,M,103.12889,102.538612,703,7.08,0.085
M_BONOS_191211,09/01/2017,M,94.619609,94.272387,1066,7.18,0.05
M_BONOS_200611,09/01/2017,M,102.597242,102.041686,1249,7.32,0.08
M_BONOS_210610,09/01/2017,M,96.991602,96.540213,1613,7.42,0.065
M_BONOS_220609,09/01/2017,M,96.053626,95.602237,1977,7.49,0.065
M_BONOS_231207,09/01/2017,M,103.069846,102.51429,2523,7.53,0.08
M_BONOS_241205,09/01/2017,M,115.026785,114.332341,2887,7.58,0.1
M_BONOS_260305,09/01/2017,M,89.3766,87.523822,3342,7.65,0.0575
M_BONOS_270603,09/01/2017,M,98.66297,98.142137,3797,7.76,0.075
M_BONOS_290531,09/01/2017,M,105.469508,104.87923,4525,7.88,0.085
M_BONOS_310529,09/01/2017,M,98.820103,98.281909,5253,7.95,0.0775
M_BONOS_341123,09/01/2017,M,98.34465,97.806456,6527,7.98,0.0775
M_BONOS_361120,09/01/2017,M,120.649904,119.95546,7255,7.99,0.1
M_BONOS_381118,09/01/2017,M,105.198564,104.608286,7983,8.05,0.085
M_BONOS_421113,09/01/2017,M,98.017454,97.47926,9439,7.98,0.0775
M_BONOS_170615,10/01/2017,M,99.716992,99.355881,156,6.52,0.05
M_BONOS_171214,10/01/2017,M,101.582257,101.022535,338,6.6,0.0775
M_BONOS_180614,10/01/2017,M,97.257998,96.914942,520,7.03,0.0475
M_BONOS_181213,10/01/2017,M,103.094161,102.480272,702,7.11,0.085
M_BONOS_191211,10/01/2017,M,94.562264,94.201153,1065,7.21,0.05
M_BONOS_200611,10/01/2017,M,102.404354,101.826576,1248,7.39,0.08
M_BONOS_210610,10/01/2017,M,96.864444,96.395,1612,7.46,0.065
M_BONOS_220609,10/01/2017,M,95.90083,95.431386,1976,7.53,0.065
M_BONOS_231207,10/01/2017,M,102.601783,102.024005,2522,7.62,0.08
M_BONOS_241205,10/01/2017,M,114.470959,113.748737,2886,7.67,0.1
M_BONOS_260305,10/01/2017,M,88.854011,86.985261,3341,7.74,0.0575
M_BONOS_270603,10/01/2017,M,98.054087,97.51242,3796,7.85,0.075
M_BONOS_290531,10/01/2017,M,104.681815,104.067926,4524,7.98,0.085
M_BONOS_310529,10/01/2017,M,97.835505,97.275783,5252,8.07,0.0775
M_BONOS_341123,10/01/2017,M,97.162023,96.602301,6526,8.11,0.0775
M_BONOS_361120,10/01/2017,M,119.092308,118.370086,7254,8.13,0.1
M_BONOS_381118,10/01/2017,M,103.957939,103.34405,7982,8.17,0.085
M_BONOS_421113,10/01/2017,M,96.873171,96.313449,9438,8.09,0.0775
M_BONOS_170615,11/01/2017,M,99.734762,99.359762,155,6.52,0.05
M_BONOS_171214,11/01/2017,M,101.600578,101.019328,337,6.6,0.0775
M_BONOS_180614,11/01/2017,M,97.342719,96.986469,519,6.98,0.0475
M_BONOS_181213,11/01/2017,M,103.186956,102.549456,701,7.07,0.085
M_BONOS_191211,11/01/2017,M,94.681981,94.306981,1064,7.17,0.05
M_BONOS_200611,11/01/2017,M,102.668725,102.068725,1247,7.31,0.08
M_BONOS_210610,11/01/2017,M,97.104317,96.616817,1611,7.4,0.065
M_BONOS_220609,11/01/2017,M,96.222372,95.734872,1975,7.46,0.065
M_BONOS_231207,11/01/2017,M,103.003236,102.403236,2521,7.55,0.08
M_BONOS_241205,11/01/2017,M,114.945237,114.195237,2885,7.6,0.1
M_BONOS_260305,11/01/2017,M,89.353546,87.468824,3340,7.66,0.0575
M_BONOS_270603,11/01/2017,M,98.634479,98.071979,3795,7.77,0.075
M_BONOS_290531,11/01/2017,M,105.270827,104.633327,4523,7.91,0.085
M_BONOS_310529,11/01/2017,M,98.358153,97.776903,5251,8.01,0.0775
M_BONOS_341123,11/01/2017,M,97.643942,97.062692,6525,8.06,0.0775
M_BONOS_361120,11/01/2017,M,119.793483,119.043483,7253,8.07,0.1
M_BONOS_381118,11/01/2017,M,104.715276,104.077776,7981,8.1,0.085
M_BONOS_421113,11/01/2017,M,97.527459,96.946209,9437,8.03,0.0775
M_BONOS_170615,12/01/2017,M,99.752535,99.363646,154,6.52,0.05
M_BONOS_171214,12/01/2017,M,101.690876,101.088098,336,6.52,0.0775
M_BONOS_180614,12/01/2017,M,97.546226,97.176782,518,6.84,0.0475
M_BONOS_181213,12/01/2017,M,103.407123,102.746012,700,6.96,0.085
M_BONOS_191211,12/01/2017,M,94.953665,94.564776,1063,7.07,0.05
M_BONOS_200611,12/01/2017,M,103.055885,102.433663,1246,7.19,0.08
M_BONOS_210610,12/01/2017,M,97.565851,97.060295,1610,7.28,0.065
M_BONOS_220609,12/01/2017,M,96.761894,96.256338,1974,7.34,0.065
M_BONOS_231207,12/01/2017,M,103.625196,103.002974,2520,7.44,0.08
M_BONOS_241205,12/01/2017,M,115.681202,114.903424,2884,7.49,0.1
M_BONOS_260305,12/01/2017,M,89.977738,88.077044,3339,7.56,0.0575
M_BONOS_270603,12/01/2017,M,99.148207,98.564874,3794,7.7,0.075
M_BONOS_290531,12/01/2017,M,106.027639,105.366528,4522,7.82,0.085
M_BONOS_310529,12/01/2017,M,99.05335,98.450572,5250,7.93,0.0775
M_BONOS_341123,12/01/2017,M,98.222153,97.619375,6524,8,0.0775
M_BONOS_361120,12/01/2017,M,120.386617,119.608839,7252,8.02,0.1
M_BONOS_381118,12/01/2017,M,105.480685,104.819574,7980,8.03,0.085
M_BONOS_421113,12/01/2017,M,97.974481,97.371703,9436,7.99,0.0775
M_BONOS_170615,13/01/2017,M,99.770312,99.367534,153,6.52,0.05
M_BONOS_171214,13/01/2017,M,101.708998,101.084692,335,6.52,0.0775
M_BONOS_180614,13/01/2017,M,97.604073,97.221434,517,6.81,0.0475
M_BONOS_181213,13/01/2017,M,103.517845,102.833123,699,6.91,0.085
M_BONOS_191211,13/01/2017,M,95.073402,94.670624,1062,7.03,0.05
M_BONOS_200611,13/01/2017,M,103.167964,102.52352,1245,7.16,0.08
M_BONOS_210610,13/01/2017,M,97.733008,97.209397,1609,7.24,0.065
M_BONOS_220609,13/01/2017,M,96.911736,96.388125,1973,7.31,0.065
M_BONOS_231207,13/01/2017,M,103.755888,103.111444,2519,7.42,0.08
M_BONOS_241205,13/01/2017,M,115.704828,114.899272,2883,7.49,0.1
M_BONOS_260305,13/01/2017,M,89.996283,88.079616,3338,7.56,0.0575
M_BONOS_270603,13/01/2017,M,99.169014,98.564847,3793,7.7,0.075
M_BONOS_290531,13/01/2017,M,105.804776,105.120054,4521,7.85,0.085
M_BONOS_310529,13/01/2017,M,98.821362,98.197056,5249,7.96,0.0775
M_BONOS_341123,13/01/2017,M,97.779275,97.154969,6523,8.05,0.0775
M_BONOS_361120,13/01/2017,M,119.959161,119.153605,7251,8.06,0.1
M_BONOS_381118,13/01/2017,M,104.761469,104.076747,7979,8.1,0.085
M_BONOS_421113,13/01/2017,M,97.3584,96.734094,9435,8.05,0.0775
M_BONOS_170615,16/01/2017,M,99.82366,99.379216,150,6.52,0.05
M_BONOS_171214,16/01/2017,M,101.754485,101.065596,332,6.53,0.0775
M_BONOS_180614,16/01/2017,M,97.63227,97.210048,514,6.83,0.0475
M_BONOS_181213,16/01/2017,M,103.522016,102.76646,696,6.94,0.085
M_BONOS_191211,16/01/2017,M,95.052261,94.607817,1059,7.06,0.05
M_BONOS_200611,16/01/2017,M,103.136785,102.425674,1242,7.19,0.08
M_BONOS_210610,16/01/2017,M,97.643384,97.065606,1606,7.28,0.065
M_BONOS_220609,16/01/2017,M,96.839411,96.261633,1970,7.34,0.065
M_BONOS_231207,16/01/2017,M,103.545243,102.834132,2516,7.47,0.08
M_BONOS_241205,16/01/2017,M,115.387004,114.498115,2880,7.55,0.1
M_BONOS_260305,16/01/2017,M,89.688272,87.723689,3335,7.62,0.0575
M_BONOS_270603,16/01/2017,M,98.809103,98.142436,3790,7.76,0.075
M_BONOS_290531,16/01/2017,M,105.384287,104.628731,4518,7.91,0.085
M_BONOS_310529,16/01/2017,M,98.381743,97.692854,5246,8.02,0.0775
M_BONOS_341123,16/01/2017,M,97.474562,96.785673,6520,8.09,0.0775
M_BONOS_361120,16/01/2017,M,119.474772,118.585883,7248,8.11,0.1
M_BONOS_381118,16/01/2017,M,104.305649,103.550093,7976,8.15,0.085
M_BONOS_421113,16/01/2017,M,97.001272,96.312383,9432,8.09,0.0775
M_BONOS_170615,17/01/2017,M,99.82945,99.371117,149,6.55,0.05
M_BONOS_171214,17/01/2017,M,101.737169,101.026752,331,6.57,0.0775
M_BONOS_180614,17/01/2017,M,97.624263,97.188846,513,6.85,0.0475
M_BONOS_181213,17/01/2017,M,103.505411,102.726244,695,6.96,0.085
M_BONOS_191211,17/01/2017,M,95.070579,94.612246,1058,7.06,0.05
M_BONOS_200611,17/01/2017,M,103.157021,102.423688,1241,7.19,0.08
M_BONOS_210610,17/01/2017,M,97.58914,96.993307,1605,7.3,0.065
M_BONOS_220609,17/01/2017,M,96.728751,96.132918,1969,7.37,0.065
M_BONOS_231207,17/01/2017,M,103.402632,102.669299,2515,7.5,0.08
M_BONOS_241205,17/01/2017,M,115.152614,114.235947,2879,7.59,0.1
M_BONOS_260305,17/01/2017,M,89.827893,87.847337,3334,7.6,0.0575
M_BONOS_270603,17/01/2017,M,98.759845,98.072345,3789,7.77,0.075
M_BONOS_290531,17/01/2017,M,105.244906,104.465739,4517,7.93,0.085
M_BONOS_310529,17/01/2017,M,98.152649,97.442232,5245,8.05,0.0775
M_BONOS_341123,17/01/2017,M,97.12908,96.418663,6519,8.13,0.0775
M_BONOS_361120,17/01/2017,M,119.053395,118.136728,7247,8.15,0.1
M_BONOS_381118,17/01/2017,M,104.119894,103.340727,7975,8.17,0.085
M_BONOS_421113,17/01/2017,M,96.396443,95.686026,9431,8.15,0.0775
M_BONOS_170615,18/01/2017,M,99.847321,99.375099,148,6.55,0.05
M_BONOS_171214,18/01/2017,M,101.755436,101.023492,330,6.57,0.0775
M_BONOS_180614,18/01/2017,M,97.616363,97.167752,512,6.87,0.0475
M_BONOS_181213,18/01/2017,M,103.488924,102.686146,694,6.98,0.085
M_BONOS_191211,18/01/2017,M,94.987998,94.515776,1057,7.1,0.05
M_BONOS_200611,18/01/2017,M,103.116292,102.360736,1240,7.21,0.08
M_BONOS_210610,18/01/2017,M,97.461578,96.847689,1604,7.34,0.065
M_BONOS_220609,18/01/2017,M,96.618411,96.004522,1968,7.4,0.065
M_BONOS_231207,18/01/2017,M,103.151743,102.396187,2514,7.55,0.08
M_BONOS_241205,18/01/2017,M,114.919117,113.974673,2878,7.63,0.1
M_BONOS_260305,18/01/2017,M,89.243723,87.247195,3333,7.7,0.0575
M_BONOS_270603,18/01/2017,M,98.291594,97.583261,3788,7.84,0.075
M_BONOS_290531,18/01/2017,M,104.863962,104.061184,4516,7.98,0.085
M_BONOS_310529,18/01/2017,M,98.090844,97.3589,5244,8.06,0.0775
M_BONOS_341123,18/01/2017,M,97.059164,96.32722,6518,8.14,0.0775
M_BONOS_361120,18/01/2017,M,118.968282,118.023838,7246,8.16,0.1
M_BONOS_381118,18/01/2017,M,103.934818,103.13204,7974,8.19,0.085
M_BONOS_421113,18/01/2017,M,96.417831,95.685887,9430,8.15,0.0775
M_BONOS_170615,19/01/2017,M,99.880986,99.394875,147,6.51,0.05
M_BONOS_171214,19/01/2017,M,101.791339,101.037867,329,6.55,0.0775
M_BONOS_180614,19/01/2017,M,97.673853,97.212047,511,6.84,0.0475
M_BONOS_181213,19/01/2017,M,103.490598,102.664209,693,6.99,0.085
M_BONOS_191211,19/01/2017,M,94.981221,94.49511,1056,7.11,0.05
M_BONOS_200611,19/01/2017,M,103.106134,102.328356,1239,7.22,0.08
M_BONOS_210610,19/01/2017,M,97.554518,96.922574,1603,7.32,0.065
M_BONOS_220609,19/01/2017,M,96.637911,96.005967,1967,7.4,0.065
M_BONOS_231207,19/01/2017,M,103.118692,102.340914,2513,7.56,0.08
M_BONOS_241205,19/01/2017,M,115.007261,114.035039,2877,7.62,0.1
M_BONOS_260305,19/01/2017,M,89.382572,87.370072,3332,7.68,0.0575
M_BONOS_270603,19/01/2017,M,98.521805,97.792638,3787,7.81,0.075
M_BONOS_290531,19/01/2017,M,105.047947,104.221558,4515,7.96,0.085
M_BONOS_310529,19/01/2017,M,98.195685,97.442213,5243,8.05,0.0775
M_BONOS_341123,19/01/2017,M,97.172082,96.41861,6517,8.13,0.0775
M_BONOS_361120,19/01/2017,M,119.217913,118.245691,7245,8.14,0.1
M_BONOS_381118,19/01/2017,M,104.375093,103.548704,7973,8.15,0.085
M_BONOS_421113,19/01/2017,M,97.065387,96.311915,9429,8.09,0.0775
M_BONOS_170615,20/01/2017,M,99.930148,99.430148,146,6.43,0.05
M_BONOS_171214,20/01/2017,M,101.862334,101.087334,328,6.49,0.0775
M_BONOS_180614,20/01/2017,M,97.731225,97.256225,510,6.81,0.0475
M_BONOS_181213,20/01/2017,M,103.600504,102.750504,692,6.94,0.085
M_BONOS_191211,20/01/2017,M,95.17597,94.67597,1055,7.04,0.05
M_BONOS_200611,20/01/2017,M,103.339645,102.539645,1238,7.15,0.08
M_BONOS_210610,20/01/2017,M,97.757766,97.107766,1602,7.27,0.065
M_BONOS_220609,20/01/2017,M,96.91699,96.26699,1966,7.34,0.065
M_BONOS_231207,20/01/2017,M,103.629637,102.829637,2512,7.47,0.08
M_BONOS_241205,20/01/2017,M,115.546639,114.546639,2876,7.54,0.1
M_BONOS_260305,20/01/2017,M,89.762812,87.73434,3331,7.62,0.0575
M_BONOS_270603,20/01/2017,M,98.962888,98.212888,3786,7.75,0.075
M_BONOS_290531,20/01/2017,M,105.475144,104.625144,4514,7.91,0.085
M_BONOS_310529,20/01/2017,M,98.635223,97.860223,5242,8,0.0775
M_BONOS_341123,20/01/2017,M,97.652516,96.877516,6516,8.08,0.0775
M_BONOS_361120,20/01/2017,M,119.805139,118.805139,7244,8.09,0.1
M_BONOS_381118,20/01/2017,M,105.134484,104.284484,7972,8.08,0.085
M_BONOS_421113,20/01/2017,M,97.507888,96.732888,9428,8.05,0.0775
M_BONOS_170615,23/01/2017,M,99.936722,99.395055,143,6.55,0.05
M_BONOS_171214,23/01/2017,M,101.934,101.094417,325,6.47,0.0775
M_BONOS_180614,23/01/2017,M,97.889638,97.375055,507,6.73,0.0475
M_BONOS_181213,23/01/2017,M,103.857313,102.93648,689,6.83,0.085
M_BONOS_191211,23/01/2017,M,95.432352,94.890685,1052,6.96,0.05
M_BONOS_200611,23/01/2017,M,103.643951,102.777284,1235,7.07,0.08
M_BONOS_210610,23/01/2017,M,97.963036,97.258869,1599,7.23,0.065
M_BONOS_220609,23/01/2017,M,97.061824,96.357657,1963,7.32,0.065
M_BONOS_231207,23/01/2017,M,103.911355,103.044688,2509,7.43,0.08
M_BONOS_241205,23/01/2017,M,115.876571,114.793238,2873,7.5,0.1
M_BONOS_260305,23/01/2017,M,90.121284,88.044895,3328,7.57,0.0575
M_BONOS_270603,23/01/2017,M,99.377319,98.564819,3783,7.7,0.075
M_BONOS_290531,23/01/2017,M,105.949734,105.028901,4511,7.86,0.085
M_BONOS_310529,23/01/2017,M,98.783584,97.944001,5239,7.99,0.0775
M_BONOS_341123,23/01/2017,M,97.809134,96.969551,6513,8.07,0.0775
M_BONOS_361120,23/01/2017,M,119.996953,118.91362,7241,8.08,0.1
M_BONOS_381118,23/01/2017,M,105.20389,104.283057,7969,8.08,0.085
M_BONOS_421113,23/01/2017,M,97.783684,96.944101,9425,8.03,0.0775
M_BONOS_170615,24/01/2017,M,99.973698,99.418142,142,6.5,0.05
M_BONOS_171214,24/01/2017,M,101.917246,101.056135,324,6.51,0.0775
M_BONOS_180614,24/01/2017,M,97.868739,97.340961,506,6.76,0.0475
M_BONOS_181213,24/01/2017,M,103.804762,102.860318,688,6.87,0.085
M_BONOS_191211,24/01/2017,M,95.400104,94.844548,1051,6.98,0.05
M_BONOS_200611,24/01/2017,M,103.511602,102.622713,1234,7.12,0.08
M_BONOS_210610,24/01/2017,M,97.835347,97.113125,1598,7.27,0.065
M_BONOS_220609,24/01/2017,M,96.90815,96.185928,1962,7.36,0.065
M_BONOS_231207,24/01/2017,M,103.7141,102.825211,2508,7.47,0.08
M_BONOS_241205,24/01/2017,M,115.641681,114.53057,2872,7.54,0.1
M_BONOS_260305,24/01/2017,M,89.958247,87.865886,3327,7.6,0.0575
M_BONOS_270603,24/01/2017,M,99.257314,98.423981,3782,7.72,0.075
M_BONOS_290531,24/01/2017,M,106.053947,105.109503,4510,7.85,0.085
M_BONOS_310529,24/01/2017,M,98.973119,98.112008,5238,7.97,0.0775
M_BONOS_341123,24/01/2017,M,97.830626,96.969515,6512,8.07,0.0775
M_BONOS_361120,24/01/2017,M,120.023353,118.912242,7240,8.08,0.1
M_BONOS_381118,24/01/2017,M,105.121382,104.176938,7968,8.09,0.085
M_BONOS_421113,24/01/2017,M,97.593413,96.732302,9424,8.05,0.0775
M_BONOS_170615,25/01/2017,M,99.99146,99.422016,141,6.5,0.05
M_BONOS_171214,25/01/2017,M,101.918048,101.035409,323,6.53,0.0775
M_BONOS_180614,25/01/2017,M,97.89975,97.358778,505,6.75,0.0475
M_BONOS_181213,25/01/2017,M,103.80629,102.838234,687,6.88,0.085
M_BONOS_191211,25/01/2017,M,95.393126,94.823682,1050,6.99,0.05
M_BONOS_200611,25/01/2017,M,103.470898,102.559787,1233,7.14,0.08
M_BONOS_210610,25/01/2017,M,97.781383,97.041105,1597,7.29,0.065
M_BONOS_220609,25/01/2017,M,96.798111,96.057833,1961,7.39,0.065
M_BONOS_231207,25/01/2017,M,103.571921,102.66081,2507,7.5,0.08
M_BONOS_241205,25/01/2017,M,115.536477,114.397588,2871,7.56,0.1
M_BONOS_260305,25/01/2017,M,89.795749,87.687416,3326,7.63,0.0575
M_BONOS_270603,25/01/2017,M,99.137622,98.283455,3781,7.74,0.075
M_BONOS_290531,25/01/2017,M,105.995113,105.027057,4509,7.86,0.085
M_BONOS_310529,25/01/2017,M,98.910541,98.027902,5237,7.98,0.0775
M_BONOS_341123,25/01/2017,M,97.759983,96.877344,6511,8.08,0.0775
M_BONOS_361120,25/01/2017,M,119.712408,118.573519,7239,8.11,0.1
M_BONOS_381118,25/01/2017,M,104.828585,103.860529,7967,8.12,0.085
M_BONOS_421113,25/01/2017,M,97.193742,96.311103,9423,8.09,0.0775
M_BONOS_170615,26/01/2017,M,100.02429,99.440957,140,6.46,0.05
M_BONOS_171214,26/01/2017,M,101.962161,101.057994,322,6.5,0.0775
M_BONOS_180614,26/01/2017,M,97.982415,97.428248,504,6.7,0.0475
